"","ID","Name","State","avg_temp","anomaly_1901.2000","Rank","Mean_1901.2000","fips"
"1","AL-001","Autauga County","Alabama","65.7","1.8",121,63.9,1001
"2","AL-003","Baldwin County","Alabama","68.3","1.5",121,66.8,1003
"3","AL-005","Barbour County","Alabama","66","1.2",121,64.8,1005
"4","AL-007","Bibb County","Alabama","63.9","1.1",118,62.7,1007
"5","AL-009","Blount County","Alabama","62.6","2",120,60.6,1009
"6","AL-011","Bullock County","Alabama","65.6","1.5",121,64.1,1011
"7","AL-013","Butler County","Alabama","66.4","1.8",122,64.6,1013
"8","AL-015","Calhoun County","Alabama","62.9","2",120,60.9,1015
"9","AL-017","Chambers County","Alabama","63","1.5",121,61.5,1017
"10","AL-019","Cherokee County","Alabama","62.2","1.6",121,60.6,1019
"11","AL-021","Chilton County","Alabama","64","1.3",119,62.7,1021
"12","AL-023","Choctaw County","Alabama","65.9","1.4",120,64.5,1023
"13","AL-025","Clarke County","Alabama","66.5","1.6",121,64.9,1025
"14","AL-027","Clay County","Alabama","62.2","1.6",120,60.7,1027
"15","AL-029","Cleburne County","Alabama","62.1","2.2",121,59.9,1029
"16","AL-031","Coffee County","Alabama","66.9","1.5",122,65.4,1031
"17","AL-033","Colbert County","Alabama","61.6","1.6",121,59.9,1033
"18","AL-035","Conecuh County","Alabama","67.1","1.7",121,65.4,1035
"19","AL-037","Coosa County","Alabama","63.6","1.3",120,62.3,1037
"20","AL-039","Covington County","Alabama","67","1.5",121,65.6,1039
"21","AL-041","Crenshaw County","Alabama","66","1.6",121,64.4,1041
"22","AL-043","Cullman County","Alabama","62","1.7",121,60.3,1043
"23","AL-045","Dale County","Alabama","67","1.4",120,65.7,1045
"24","AL-047","Dallas County","Alabama","66","1.7",121,64.3,1047
"25","AL-049","DeKalb County","Alabama","60.4","1.2",118,59.3,1049
"26","AL-051","Elmore County","Alabama","65.4","1.7",122,63.7,1051
"27","AL-053","Escambia County","Alabama","67.6","1.6",121,66,1053
"28","AL-055","Etowah County","Alabama","62.6","1.7",121,60.8,1055
"29","AL-057","Fayette County","Alabama","63.3","1.3",119,62,1057
"30","AL-059","Franklin County","Alabama","61.3","1.4",121,59.9,1059
"31","AL-061","Geneva County","Alabama","67.6","1.5",122,66.1,1061
"32","AL-063","Greene County","Alabama","64.6","0.8",107,63.8,1063
"33","AL-065","Hale County","Alabama","64.5","0.8",109,63.7,1065
"34","AL-067","Henry County","Alabama","67.1","1.4",121,65.7,1067
"35","AL-069","Houston County","Alabama","68","1.5",122,66.5,1069
"36","AL-071","Jackson County","Alabama","60.6","1.2",119,59.4,1071
"37","AL-073","Jefferson County","Alabama","63.5","1.7",120,61.8,1073
"38","AL-075","Lamar County","Alabama","63.4","1.4",118,62.1,1075
"39","AL-077","Lauderdale County","Alabama","61.1","1.6",121,59.5,1077
"40","AL-079","Lawrence County","Alabama","61.1","1",119,60.1,1079
"41","AL-081","Lee County","Alabama","64.2","1.2",121,63,1081
"42","AL-083","Limestone County","Alabama","61.2","1.3",121,59.9,1083
"43","AL-085","Lowndes County","Alabama","66.5","2",121,64.6,1085
"44","AL-087","Macon County","Alabama","65.4","1.3",122,64,1087
"45","AL-089","Madison County","Alabama","61.3","1.3",120,59.9,1089
"46","AL-091","Marengo County","Alabama","65.4","1.1",120,64.3,1091
"47","AL-093","Marion County","Alabama","62","1.2",120,60.8,1093
"48","AL-095","Marshall County","Alabama","61.9","1.5",120,60.3,1095
"49","AL-097","Mobile County","Alabama","68.1","1.7",121,66.4,1097
"50","AL-099","Monroe County","Alabama","67.2","2.1",122,65.1,1099
"51","AL-101","Montgomery County","Alabama","66.5","2.1",122,64.4,1101
"52","AL-103","Morgan County","Alabama","61.7","1.4",120,60.2,1103
"53","AL-105","Perry County","Alabama","64.8","1.2",120,63.6,1105
"54","AL-107","Pickens County","Alabama","64.3","1.2",118,63.1,1107
"55","AL-109","Pike County","Alabama","65.9","1.3",120,64.6,1109
"56","AL-111","Randolph County","Alabama","62.3","1.8",120,60.5,1111
"57","AL-113","Russell County","Alabama","65.3","1.1",121,64.2,1113
"58","AL-115","St. Clair County","Alabama","63","1.9",120,61.1,1115
"59","AL-117","Shelby County","Alabama","63.5","1.5",118,62,1117
"60","AL-119","Sumter County","Alabama","65.1","1.1",120,64,1119
"61","AL-121","Talladega County","Alabama","63.3","1.6",120,61.8,1121
"62","AL-123","Tallapoosa County","Alabama","63.4","1.3",119,62.1,1123
"63","AL-125","Tuscaloosa County","Alabama","64.1","1",116,63,1125
"64","AL-127","Walker County","Alabama","62.9","1.3",118,61.6,1127
"65","AL-129","Washington County","Alabama","66.7","1.4",121,65.4,1129
"66","AL-131","Wilcox County","Alabama","66.4","1.7",121,64.7,1131
"67","AL-133","Winston County","Alabama","61.2","1",119,60.2,1133
"68","AZ-001","Apache County","Arizona","51.9","2.2",122,49.7,2013
"69","AZ-003","Cochise County","Arizona","62.6","2.3",122,60.3,2016
"70","AZ-005","Coconino County","Arizona","54.5","2.8",125,51.7,2020
"71","AZ-007","Gila County","Arizona","61.5","3",123,58.5,2050
"72","AZ-009","Graham County","Arizona","62.7","2.5",124,60.2,2060
"73","AZ-011","Greenlee County","Arizona","58.4","2.7",125,55.7,2068
"74","AZ-012","La Paz County","Arizona","72.9","2.7",122,70.3,2070
"75","AZ-013","Maricopa County","Arizona","72.2","3.1",122,69.1,2090
"76","AZ-015","Mohave County","Arizona","64","2.6",123,61.4,2100
"77","AZ-017","Navajo County","Arizona","53.6","2.4",122,51.1,2105
"78","AZ-019","Pima County","Arizona","69.2","2.7",122,66.5,2110
"79","AZ-021","Pinal County","Arizona","70.3","2.7",123,67.6,2122
"80","AZ-023","Santa Cruz County","Arizona","62","2.1",122,59.9,2130
"81","AZ-025","Yavapai County","Arizona","61.1","2.9",125,58.2,2150
"82","AZ-027","Yuma County","Arizona","73.8","3",121,70.8,2158
"83","AR-001","Arkansas County","Arkansas","63.1","1",113,62.1,2164
"84","AR-003","Ashley County","Arkansas","64.7","1.6",120,63.1,2170
"85","AR-005","Baxter County","Arkansas","58","0.9",110,57.1,2180
"86","AR-007","Benton County","Arkansas","58.4","1.1",116,57.3,2185
"87","AR-009","Boone County","Arkansas","57.7","0.9",109,56.8,2188
"88","AR-011","Bradley County","Arkansas","64","1.4",120,62.7,2195
"89","AR-013","Calhoun County","Arkansas","63.4","0.6",106,62.7,2198
"90","AR-015","Carroll County","Arkansas","57.7","0.8",105,56.9,2220
"91","AR-017","Chicot County","Arkansas","64.4","0.9",113,63.5,2230
"92","AR-019","Clark County","Arkansas","62.6","0.5",83,62.1,2240
"93","AR-021","Clay County","Arkansas","59.6","0.9",112,58.7,2261
"94","AR-023","Cleburne County","Arkansas","59.7","0.8",105,58.8,2270
"95","AR-025","Cleveland County","Arkansas","62.8","0.5",93,62.3,2275
"96","AR-027","Columbia County","Arkansas","63.7","0.4",77,63.3,2282
"97","AR-029","Conway County","Arkansas","60.8","0.7",97,60.2,2290
"98","AR-031","Craighead County","Arkansas","60.5","1",112,59.4,4001
"99","AR-033","Crawford County","Arkansas","60.2","0.9",104,59.3,4003
"100","AR-035","Crittenden County","Arkansas","62.3","1",112,61.2,4005
"101","AR-037","Cross County","Arkansas","61.5","0.8",97,60.8,4007
"102","AR-039","Dallas County","Arkansas","62.5","0.2",70,62.2,4009
"103","AR-041","Desha County","Arkansas","63.5","0.7",107,62.7,4011
"104","AR-043","Drew County","Arkansas","63.8","1.1",117,62.7,4012
"105","AR-045","Faulkner County","Arkansas","61","0.5",84,60.5,4013
"106","AR-047","Franklin County","Arkansas","60","0.7",105,59.2,4015
"107","AR-049","Fulton County","Arkansas","58.1","1.6",119,56.5,4017
"108","AR-051","Garland County","Arkansas","61.6","0.9",108,60.8,4019
"109","AR-053","Grant County","Arkansas","62.3","0.3",68,62.1,4021
"110","AR-055","Greene County","Arkansas","59.9","0.9",113,59,4023
"111","AR-057","Hempstead County","Arkansas","62.9","0.3",76,62.5,4025
"112","AR-059","Hot Spring County","Arkansas","62.2","0.5",89,61.7,4027
"113","AR-061","Howard County","Arkansas","61.9","0.6",94,61.3,5001
"114","AR-063","Independence County","Arkansas","59.6","0.8",103,58.7,5003
"115","AR-065","Izard County","Arkansas","58.2","0.7",98,57.4,5005
"116","AR-067","Jackson County","Arkansas","60.3","0.8",95,59.5,5007
"117","AR-069","Jefferson County","Arkansas","62.6","0.4",83,62.1,5009
"118","AR-071","Johnson County","Arkansas","59.3","0.7",103,58.6,5011
"119","AR-073","Lafayette County","Arkansas","64.2","0.7",106,63.5,5013
"120","AR-075","Lawrence County","Arkansas","59.6","0.9",112,58.7,5015
"121","AR-077","Lee County","Arkansas","62.6","1.1",114,61.5,5017
"122","AR-079","Lincoln County","Arkansas","63.2","0.8",107,62.4,5019
"123","AR-081","Little River County","Arkansas","63.7","1.1",119,62.6,5021
"124","AR-083","Logan County","Arkansas","60.8","0.6",98,60.1,5023
"125","AR-085","Lonoke County","Arkansas","62.1","0.6",94,61.5,5025
"126","AR-087","Madison County","Arkansas","57.3","0.9",107,56.4,5027
"127","AR-089","Marion County","Arkansas","57.9","0.8",109,57.1,5029
"128","AR-091","Miller County","Arkansas","64.4","0.9",113,63.5,5031
"129","AR-093","Mississippi County","Arkansas","61.2","1.1",114,60.1,5033
"130","AR-095","Monroe County","Arkansas","62.7","1",117,61.6,5035
"131","AR-097","Montgomery County","Arkansas","61.1","1",116,60.1,5037
"132","AR-099","Nevada County","Arkansas","62.9","0.2",66,62.7,5039
"133","AR-101","Newton County","Arkansas","57.1","0.7",107,56.4,5041
"134","AR-103","Ouachita County","Arkansas","63","0",60,63,5043
"135","AR-105","Perry County","Arkansas","61.4","0.7",101,60.8,5045
"136","AR-107","Phillips County","Arkansas","63","1.1",115,61.9,5047
"137","AR-109","Pike County","Arkansas","61.6","0.5",83,61.2,5049
"138","AR-111","Poinsett County","Arkansas","61","0.9",107,60.1,5051
"139","AR-113","Polk County","Arkansas","60.3","1",115,59.3,5053
"140","AR-115","Pope County","Arkansas","59.7","0.6",97,59.1,5055
"141","AR-117","Prairie County","Arkansas","62.3","0.7",104,61.5,5057
"142","AR-119","Pulaski County","Arkansas","61.8","0.4",74,61.4,5059
"143","AR-121","Randolph County","Arkansas","59.1","1.1",116,58,5061
"144","AR-123","St. Francis County","Arkansas","62.2","0.9",108,61.2,5063
"145","AR-125","Saline County","Arkansas","61.7","0.5",88,61.2,5065
"146","AR-127","Scott County","Arkansas","60.6","0.9",106,59.7,5067
"147","AR-129","Searcy County","Arkansas","57.7","0.6",101,57,5069
"148","AR-131","Sebastian County","Arkansas","61.4","1",112,60.3,5071
"149","AR-133","Sevier County","Arkansas","62.8","1.1",119,61.7,5073
"150","AR-135","Sharp County","Arkansas","58.6","1.1",115,57.4,5075
"151","AR-137","Stone County","Arkansas","58.3","0.6",93,57.6,5077
"152","AR-139","Union County","Arkansas","64.3","1",119,63.2,5079
"153","AR-141","Van Buren County","Arkansas","58.8","0.6",96,58.2,5081
"154","AR-143","Washington County","Arkansas","58.2","0.9",108,57.3,5083
"155","AR-145","White County","Arkansas","61.2","0.9",108,60.3,5085
"156","AR-147","Woodruff County","Arkansas","61.4","0.6",93,60.8,5087
"157","AR-149","Yell County","Arkansas","61.2","0.7",102,60.5,5089
"158","CA-001","Alameda County","California","60.5","2.6",123,57.9,5091
"159","CA-003","Alpine County","California","45.6","2.3",123,43.3,5093
"160","CA-005","Amador County","California","59.6","2.4",123,57.2,5095
"161","CA-007","Butte County","California","61.5","2.7",125,58.8,5097
"162","CA-009","Calaveras County","California","60","2.4",124,57.6,5099
"163","CA-011","Colusa County","California","62.9","2.5",123,60.4,5101
"164","CA-013","Contra Costa County","California","61.6","2.8",124,58.8,5103
"165","CA-015","Del Norte County","California","53","2.3",121,50.8,5105
"166","CA-017","El Dorado County","California","55.5","2.2",124,53.3,5107
"167","CA-019","Fresno County","California","57.2","2.8",122,54.4,5109
"168","CA-021","Glenn County","California","61.7","2.4",124,59.3,5111
"169","CA-023","Humboldt County","California","55","2.1",121,52.9,5113
"170","CA-025","Imperial County","California","75.1","3",121,72.2,5115
"171","CA-027","Inyo County","California","62.2","2.7",122,59.5,5117
"172","CA-029","Kern County","California","63.2","2.8",121,60.5,5119
"173","CA-031","Kings County","California","65.2","2.7",122,62.5,5121
"174","CA-033","Lake County","California","58.7","2.4",123,56.3,5123
"175","CA-035","Lassen County","California","48.3","2.3",121,46.1,5125
"176","CA-037","Los Angeles County","California","63.1","3.3",120,59.8,5127
"177","CA-039","Madera County","California","57.6","2.5",122,55.1,5129
"178","CA-041","Marin County","California","57.3","2.5",123,54.8,5131
"179","CA-043","Mariposa County","California","56.8","2.3",122,54.5,5133
"180","CA-045","Mendocino County","California","56.8","1.9",123,54.8,5135
"181","CA-047","Merced County","California","63.4","2.4",120,61,5137
"182","CA-049","Modoc County","California","48.4","2.9",123,45.5,5139
"183","CA-051","Mono County","California","45.8","2.6",122,43.2,5141
"184","CA-053","Monterey County","California","59.9","2.7",122,57.2,5143
"185","CA-055","Napa County","California","60.9","2.7",123,58.2,5145
"186","CA-057","Nevada County","California","53.8","2.1",123,51.7,5147
"187","CA-059","Orange County","California","65.4","3.1",120,62.3,5149
"188","CA-061","Placer County","California","55.2","2.1",124,53,6001
"189","CA-063","Plumas County","California","48.7","1.9",122,46.8,6003
"190","CA-065","Riverside County","California","69.8","3.1",123,66.7,6005
"191","CA-067","Sacramento County","California","63.5","2.4",123,61.1,6007
"192","CA-069","San Benito County","California","60.3","2.9",122,57.4,6009
"193","CA-071","San Bernardino County","California","67.9","2.9",122,65,6011
"194","CA-073","San Diego County","California","64.3","3.1",122,61.2,6013
"195","CA-075","San Francisco County","California","58.2","2.4",121,55.7,6015
"196","CA-077","San Joaquin County","California","63.7","2.9",125,60.7,6017
"197","CA-079","San Luis Obispo County","California","61","3",122,58,6019
"198","CA-081","San Mateo County","California","58.1","2.7",121,55.3,6021
"199","CA-083","Santa Barbara County","California","59.9","3.3",121,56.6,6023
"200","CA-085","Santa Clara County","California","59.7","2.9",123,56.8,6025
"201","CA-087","Santa Cruz County","California","58.7","3.1",121,55.6,6027
"202","CA-089","Shasta County","California","56.8","2.5",123,54.3,6029
"203","CA-091","Sierra County","California","48.6","2.2",122,46.4,6031
"204","CA-093","Siskiyou County","California","50.4","2.6",122,47.8,6033
"205","CA-095","Solano County","California","62.2","2.5",123,59.7,6035
"206","CA-097","Sonoma County","California","58.4","2.4",123,56.1,6037
"207","CA-099","Stanislaus County","California","62.9","2.6",123,60.3,6039
"208","CA-101","Sutter County","California","64.2","2.4",122,61.8,6041
"209","CA-103","Tehama County","California","60.3","2.4",124,57.9,6043
"210","CA-105","Trinity County","California","54","2.5",122,51.5,6045
"211","CA-107","Tulare County","California","55.7","2.5",121,53.2,6047
"212","CA-109","Tuolumne County","California","51.8","2.2",123,49.6,6049
"213","CA-111","Ventura County","California","59.3","3.4",120,55.9,6051
"214","CA-113","Yolo County","California","63.1","2.2",122,60.9,6053
"215","CA-115","Yuba County","California","62.3","2.4",124,59.8,6055
"216","CO-001","Adams County","Colorado","50.5","2.1",124,48.4,6057
"217","CO-003","Alamosa County","Colorado","44.5","2.7",124,41.8,6059
"218","CO-005","Arapahoe County","Colorado","50","1.9",125,48.2,6061
"219","CO-007","Archuleta County","Colorado","45.3","2.8",125,42.5,6063
"220","CO-009","Baca County","Colorado","54.1","1",96,53.1,6065
"221","CO-011","Bent County","Colorado","54.5","1.9",117,52.6,6067
"222","CO-013","Boulder County","Colorado","45.8","2",123,43.8,6069
"223","CO-014","Broomfield County","Colorado","51.5","2",121,49.6,6071
"224","CO-015","Chaffee County","Colorado","39.1","1.7",120,37.4,6073
"225","CO-017","Cheyenne County","Colorado","52","1.6",110,50.4,6075
"226","CO-019","Clear Creek County","Colorado","38.5","2.1",121,36.4,6077
"227","CO-021","Conejos County","Colorado","41.9","2.6",124,39.3,6079
"228","CO-023","Costilla County","Colorado","43.8","2.9",125,40.9,6081
"229","CO-025","Crowley County","Colorado","52.9","2.2",118,50.8,6083
"230","CO-027","Custer County","Colorado","42.8","2.1",124,40.6,6085
"231","CO-029","Delta County","Colorado","48.3","3.4",124,44.9,6087
"232","CO-031","Denver County","Colorado","51.6","2.1",122,49.6,6089
"233","CO-033","Dolores County","Colorado","44.9","3.2",125,41.7,6091
"234","CO-035","Douglas County","Colorado","47.8","1.5",118,46.4,6093
"235","CO-037","Eagle County","Colorado","40.7","2.2",124,38.4,6095
"236","CO-039","Elbert County","Colorado","48.6","2",123,46.7,6097
"237","CO-041","El Paso County","Colorado","49.1","2.1",124,47,6099
"238","CO-043","Fremont County","Colorado","46.4","1.5",120,44.9,6101
"239","CO-045","Garfield County","Colorado","44.8","2.8",124,42,6103
"240","CO-047","Gilpin County","Colorado","40.5","1.9",124,38.6,6105
"241","CO-049","Grand County","Colorado","38.5","2.2",122,36.2,6107
"242","CO-051","Gunnison County","Colorado","39.5","2.4",123,37,6109
"243","CO-053","Hinsdale County","Colorado","37.8","3.5",125,34.3,6111
"244","CO-055","Huerfano County","Colorado","48.4","2.4",124,46,6113
"245","CO-057","Jackson County","Colorado","37.7","2.2",119,35.6,6115
"246","CO-059","Jefferson County","Colorado","47","1.5",115,45.5,8001
"247","CO-061","Kiowa County","Colorado","53","1.4",109,51.6,8003
"248","CO-063","Kit Carson County","Colorado","51.9","2",120,49.9,8005
"249","CO-065","Lake County","Colorado","35.6","1.9",121,33.8,8007
"250","CO-067","La Plata County","Colorado","46.5","3.1",123,43.4,8009
"251","CO-069","Larimer County","Colorado","43.3","2.4",121,40.8,8011
"252","CO-071","Las Animas County","Colorado","52.3","2",121,50.3,8013
"253","CO-073","Lincoln County","Colorado","50.7","1.9",123,48.8,8014
"254","CO-075","Logan County","Colorado","50.4","1.6",110,48.8,8015
"255","CO-077","Mesa County","Colorado","49","3.5",125,45.5,8017
"256","CO-079","Mineral County","Colorado","38.4","3.1",125,35.3,8019
"257","CO-081","Moffat County","Colorado","45.2","2.9",122,42.3,8021
"258","CO-083","Montezuma County","Colorado","50.2","2.9",125,47.3,8023
"259","CO-085","Montrose County","Colorado","49.2","3.6",125,45.6,8025
"260","CO-087","Morgan County","Colorado","50.6","2.8",121,47.8,8027
"261","CO-089","Otero County","Colorado","54.3","2",118,52.3,8029
"262","CO-091","Ouray County","Colorado","43.2","3.6",124,39.6,8031
"263","CO-093","Park County","Colorado","39.2","1.6",120,37.7,8033
"264","CO-095","Phillips County","Colorado","50.5","1.6",110,48.9,8035
"265","CO-097","Pitkin County","Colorado","39.2","2.4",124,36.8,8037
"266","CO-099","Prowers County","Colorado","54.2","1.2",105,53,8039
"267","CO-101","Pueblo County","Colorado","53.4","2.1",121,51.3,8041
"268","CO-103","Rio Blanco County","Colorado","45.6","3",123,42.6,8043
"269","CO-105","Rio Grande County","Colorado","41.6","3.2",125,38.4,8045
"270","CO-107","Routt County","Colorado","41.1","2.6",123,38.4,8047
"271","CO-109","Saguache County","Colorado","40.5","2.1",124,38.4,8049
"272","CO-111","San Juan County","Colorado","36.9","3.6",125,33.3,8051
"273","CO-113","San Miguel County","Colorado","46.4","3.4",125,43,8053
"274","CO-115","Sedgwick County","Colorado","50.2","1.2",102,49,8055
"275","CO-117","Summit County","Colorado","37","2.3",124,34.7,8057
"276","CO-119","Teller County","Colorado","41.2","1.6",121,39.6,8059
"277","CO-121","Washington County","Colorado","50.7","2.1",116,48.6,8061
"278","CO-123","Weld County","Colorado","49.4","2",111,47.4,8063
"279","CO-125","Yuma County","Colorado","51.7","2",111,49.7,8065
"280","CT-001","Fairfield County","Connecticut","52.2","3",121,49.2,8067
"281","CT-003","Hartford County","Connecticut","50.9","2.6",120,48.3,8069
"282","CT-005","Litchfield County","Connecticut","48.4","2.5",117,46,8071
"283","CT-007","Middlesex County","Connecticut","51.6","2.7",121,48.8,8073
"284","CT-009","New Haven County","Connecticut","51.6","2.7",121,48.9,8075
"285","CT-011","New London County","Connecticut","51.6","3",121,48.6,8077
"286","CT-013","Tolland County","Connecticut","50.1","2.8",121,47.4,8079
"287","CT-015","Windham County","Connecticut","50.3","2.7",121,47.5,8081
"288","DE-001","Kent County","Delaware","57","3.1",121,54,8083
"289","DE-003","New Castle County","Delaware","56","2.7",121,53.2,8085
"290","DE-005","Sussex County","Delaware","58.1","3.4",121,54.7,8087
"291","FL-001","Alachua County","Florida","70.8","2.1",121,68.7,8089
"292","FL-003","Baker County","Florida","69.4","2",120,67.4,8091
"293","FL-005","Bay County","Florida","69.7","2.3",121,67.4,8093
"294","FL-007","Bradford County","Florida","70.3","2.1",121,68.2,8095
"295","FL-009","Brevard County","Florida","74","2.4",121,71.6,8097
"296","FL-011","Broward County","Florida","76.9","2.9",121,74,8099
"297","FL-013","Calhoun County","Florida","69.1","2.3",122,66.8,8101
"298","FL-015","Charlotte County","Florida","75.4","2.6",122,72.8,8103
"299","FL-017","Citrus County","Florida","72.4","2.7",121,69.7,8105
"300","FL-019","Clay County","Florida","71","2.7",121,68.3,8107
"301","FL-021","Collier County","Florida","76.2","2.3",121,73.9,8109
"302","FL-023","Columbia County","Florida","69.2","1.6",120,67.5,8111
"303","FL-027","DeSoto County","Florida","74.4","2.4",121,72,8113
"304","FL-029","Dixie County","Florida","70.5","2.4",121,68.1,8115
"305","FL-031","Duval County","Florida","70.8","2.8",121,67.9,8117
"306","FL-033","Escambia County","Florida","68.5","1.5",121,67,8119
"307","FL-035","Flagler County","Florida","72.5","3.1",121,69.4,8121
"308","FL-037","Franklin County","Florida","69.9","2.2",121,67.7,8123
"309","FL-039","Gadsden County","Florida","68.7","1.9",120,66.7,8125
"310","FL-041","Gilchrist County","Florida","70.4","2.3",122,68.1,9001
"311","FL-043","Glades County","Florida","75.1","2.6",122,72.5,9003
"312","FL-045","Gulf County","Florida","69.8","2.5",122,67.3,9005
"313","FL-047","Hamilton County","Florida","68.6","1.5",120,67.1,9007
"314","FL-049","Hardee County","Florida","74.2","2.7",121,71.6,9009
"315","FL-051","Hendry County","Florida","75.6","2.5",122,73.1,9011
"316","FL-053","Hernando County","Florida","73.1","3.1",121,70,9013
"317","FL-055","Highlands County","Florida","74.5","2.6",123,71.9,9015
"318","FL-057","Hillsborough County","Florida","74.4","3.2",121,71.2,10001
"319","FL-059","Holmes County","Florida","68","1.6",122,66.4,10003
"320","FL-061","Indian River County","Florida","74.4","2.7",123,71.7,10005
"321","FL-063","Jackson County","Florida","68.7","1.7",123,67,11001
"322","FL-065","Jefferson County","Florida","69.2","2.2",122,67,11001
"323","FL-067","Lafayette County","Florida","69.7","2.2",121,67.6,12001
"324","FL-069","Lake County","Florida","73.4","3",121,70.3,12003
"325","FL-071","Lee County","Florida","76","2.6",121,73.4,12005
"326","FL-073","Leon County","Florida","69","2",120,67,12007
"327","FL-075","Levy County","Florida","71.6","2.9",121,68.7,12009
"328","FL-077","Liberty County","Florida","69.3","2.3",122,67,12011
"329","FL-079","Madison County","Florida","69","2.1",121,66.9,12013
"330","FL-081","Manatee County","Florida","74.2","2.6",121,71.6,12015
"331","FL-083","Marion County","Florida","72","2.6",121,69.4,12017
"332","FL-085","Martin County","Florida","76.2","3.4",123,72.8,12019
"333","FL-086","Miami-Dade County","Florida","77.4","3.2",121,74.3,12021
"334","FL-087","Monroe County","Florida","77.8","3",121,74.9,12023
"335","FL-089","Nassau County","Florida","70","2.6",122,67.3,12027
"336","FL-091","Okaloosa County","Florida","68.3","1.7",121,66.6,12029
"337","FL-093","Okeechobee County","Florida","74.8","2.8",123,72,12031
"338","FL-095","Orange County","Florida","74.1","2.8",121,71.3,12033
"339","FL-097","Osceola County","Florida","74.4","2.8",121,71.6,12035
"340","FL-099","Palm Beach County","Florida","76.5","3.1",123,73.4,12037
"341","FL-101","Pasco County","Florida","73.6","3.2",121,70.4,12039
"342","FL-103","Pinellas County","Florida","74.8","2.9",121,71.9,12041
"343","FL-105","Polk County","Florida","74.4","2.9",121,71.5,12043
"344","FL-107","Putnam County","Florida","71.9","2.8",121,69.1,12045
"345","FL-109","St. Johns County","Florida","71.9","3.2",121,68.7,12047
"346","FL-111","St. Lucie County","Florida","75.3","2.9",123,72.4,12049
"347","FL-113","Santa Rosa County","Florida","68.1","1.2",121,67,12051
"348","FL-115","Sarasota County","Florida","74.4","2.1",122,72.3,12053
"349","FL-117","Seminole County","Florida","73.8","2.7",121,71.1,12055
"350","FL-119","Sumter County","Florida","72.9","2.8",122,70,12057
"351","FL-121","Suwannee County","Florida","69.3","1.8",121,67.5,12059
"352","FL-123","Taylor County","Florida","70.1","2.5",122,67.6,12061
"353","FL-125","Union County","Florida","69.7","1.8",121,67.9,12063
"354","FL-127","Volusia County","Florida","73.1","2.8",121,70.3,12065
"355","FL-129","Wakulla County","Florida","69.7","2.2",120,67.5,12067
"356","FL-131","Walton County","Florida","68.4","2",121,66.5,12069
"357","FL-133","Washington County","Florida","68.7","1.8",121,66.9,12071
"358","GA-001","Appling County","Georgia","67.7","1.8",122,65.9,12073
"359","GA-003","Atkinson County","Georgia","67.7","1.8",122,66,12075
"360","GA-005","Bacon County","Georgia","67.8","1.9",122,65.9,12077
"361","GA-007","Baker County","Georgia","67.8","1.6",121,66.1,12079
"362","GA-009","Baldwin County","Georgia","65.3","2",121,63.3,12081
"363","GA-011","Banks County","Georgia","62","1.7",121,60.4,12083
"364","GA-013","Barrow County","Georgia","62.4","1.9",121,60.6,12085
"365","GA-015","Bartow County","Georgia","61.6","1.4",122,60.2,12086
"366","GA-017","Ben Hill County","Georgia","67.3","2.2",123,65.1,12087
"367","GA-019","Berrien County","Georgia","67.2","1.4",122,65.7,12089
"368","GA-021","Bibb County","Georgia","65.6","2.2",122,63.4,12091
"369","GA-023","Bleckley County","Georgia","66.4","2",121,64.4,12093
"370","GA-025","Brantley County","Georgia","68.5","2.4",122,66.1,12095
"371","GA-027","Brooks County","Georgia","67.5","1.3",120,66.2,12097
"372","GA-029","Bryan County","Georgia","68.1","2.1",122,66,12099
"373","GA-031","Bulloch County","Georgia","67.2","2.2",122,65,12101
"374","GA-033","Burke County","Georgia","66","2.5",123,63.5,12103
"375","GA-035","Butts County","Georgia","64.3","2.5",121,61.8,12105
"376","GA-037","Calhoun County","Georgia","67.4","1.8",122,65.6,12107
"377","GA-039","Camden County","Georgia","69.4","2.4",121,67,12109
"378","GA-043","Candler County","Georgia","67","2",122,65,12111
"379","GA-045","Carroll County","Georgia","62.5","2.7",122,59.8,12113
"380","GA-047","Catoosa County","Georgia","61.3","2",121,59.3,12115
"381","GA-049","Charlton County","Georgia","69.2","2.5",122,66.8,12117
"382","GA-051","Chatham County","Georgia","68.4","2.3",122,66.1,12119
"383","GA-053","Chattahoochee County","Georgia","65.4","1.3",122,64,12121
"384","GA-055","Chattooga County","Georgia","61.3","1.4",120,59.9,12123
"385","GA-057","Cherokee County","Georgia","60.9","1.4",121,59.5,12125
"386","GA-059","Clarke County","Georgia","63.1","2.1",121,61,12127
"387","GA-061","Clay County","Georgia","66.9","1.5",121,65.3,12129
"388","GA-063","Clayton County","Georgia","63.5","2.4",121,61.1,12131
"389","GA-065","Clinch County","Georgia","68.2","1.8",121,66.5,12133
"390","GA-067","Cobb County","Georgia","62.4","2.2",122,60.1,13001
"391","GA-069","Coffee County","Georgia","67.5","1.9",122,65.6,13003
"392","GA-071","Colquitt County","Georgia","66.9","1.3",121,65.7,13005
"393","GA-073","Columbia County","Georgia","65.1","2.4",122,62.8,13007
"394","GA-075","Cook County","Georgia","67","1.2",121,65.8,13009
"395","GA-077","Coweta County","Georgia","63.7","2.7",122,61,13011
"396","GA-079","Crawford County","Georgia","65.2","2",122,63.2,13013
"397","GA-081","Crisp County","Georgia","67.1","2.6",122,64.5,13015
