"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"46","01091",7690,7310,380,4.9,7805,7515,290,3.7,7867,7330,537,6.8,7643,7323,320,4.2,7611,7351,260,3.4
"47","01093",12754,12236,518,4.1,12955,12475,480,3.7,13300,12564,736,5.5,13488,13111,377,2.8,13808,13464,344,2.5
"48","01095",43376,41914,1462,3.4,44748,43576,1172,2.6,44822,42766,2056,4.6,44898,43831,1067,2.4,45464,44531,933,2.1
"49","01097",191026,182105,8921,4.7,191819,184282,7537,3.9,195131,178433,16698,8.6,190714,181908,8806,4.6,192312,186073,6239,3.2
"50","01099",7265,6821,444,6.1,7445,7066,379,5.1,7627,6954,673,8.8,7368,6963,405,5.5,7300,7001,299,4.1
"51","01101",107078,102805,4273,4,107771,104251,3520,3.3,108365,99200,9165,8.5,107330,102321,5009,4.7,107183,103886,3297,3.1
"52","01103",57761,55747,2014,3.5,59205,57589,1616,2.7,59785,56858,2927,4.9,59785,58258,1527,2.6,60820,59548,1272,2.1
"53","01105",3448,3224,224,6.5,3438,3249,189,5.5,3452,3043,409,11.8,3206,2953,253,7.9,3083,2921,162,5.3
"54","01107",7829,7470,359,4.6,8032,7734,298,3.7,7692,7139,553,7.2,7545,7242,303,4,7681,7431,250,3.3
"55","01109",15422,14726,696,4.5,15577,15037,540,3.5,15851,14999,852,5.4,16084,15575,509,3.2,16115,15674,441,2.7
"56","01111",9683,9295,388,4,9648,9335,313,3.2,9578,9077,501,5.2,9490,9232,258,2.7,9692,9454,238,2.5
"57","01113",24275,23299,976,4,24086,23330,756,3.1,23836,22482,1354,5.7,23440,22726,714,3,23708,23091,617,2.6
"58","01115",40540,39131,1409,3.5,41339,40158,1181,2.9,41421,39209,2212,5.3,41602,40523,1079,2.6,42213,41285,928,2.2
"59","01117",115828,112545,3283,2.8,118217,115471,2746,2.3,117987,113068,4919,4.2,119405,116886,2519,2.1,121349,119126,2223,1.8
"60","01119",4872,4589,283,5.8,4835,4602,233,4.8,4782,4417,365,7.6,4549,4349,200,4.4,4597,4435,162,3.5
"61","01121",35709,34188,1521,4.3,36231,34921,1310,3.6,36454,33656,2798,7.7,35915,34460,1455,4.1,36362,35239,1123,3.1
"62","01123",18150,17399,751,4.1,18746,18150,596,3.2,18214,16848,1366,7.5,17982,17271,711,4,17593,17091,502,2.9
"63","01125",103587,99819,3768,3.6,106601,103555,3046,2.9,103837,96371,7466,7.2,101686,98093,3593,3.5,103432,100816,2616,2.5
"64","01127",25398,24321,1077,4.2,25553,24659,894,3.5,25225,23619,1606,6.4,25324,24423,901,3.6,25568,24864,704,2.8
"65","01129",6783,6390,393,5.8,6812,6475,337,4.9,6823,6229,594,8.7,6547,6248,299,4.6,6565,6326,239,3.6
"66","01131",2787,2523,264,9.5,2755,2548,207,7.5,2918,2453,465,15.9,2631,2356,275,10.5,2528,2331,197,7.8
