regular,mid,premium,diesel,state
4.0843379501385,4.26347645429363,4.4625540166205,4.37529085872576,AK
3.1396648199446,3.52999168975069,3.90463434903047,4.01259833795014,AL
3.12445983379501,3.50108310249308,3.86649584487534,3.93376454293629,AR
4.0055484764543,4.30731578947369,4.58990304709141,4.45462880886426,AZ
4.96848476454294,5.17763711911358,5.33048199445983,5.59701939058171,CA
3.60149584487534,3.96727146814405,4.26482548476454,4.23603324099723,CO
3.51669252077562,4.03595844875346,4.43547645429363,4.46629916897507,CT
3.65140720221607,4.21525761772853,4.60012742382272,4.53868698060942,DC
3.34624930747922,3.82526315789474,4.10226315789474,4.06226869806094,DE
3.4125512465374,3.80908033240997,4.12907756232687,4.19268975069252,FL
3.23673407202216,3.63737950138504,4.01651800554016,4.11217728531856,GA
4.7872132963989,5.00139889196676,5.25308864265928,5.80845152354571,HI
3.31870360110803,3.60413573407202,4.06795567867036,3.99334072022161,IA
3.76707202216067,3.97994182825485,4.21703324099723,4.37496675900277,ID
3.74203878116343,4.2259944598338,4.65075069252078,4.19957617728532,IL
3.41707479224377,3.89379224376732,4.33732963988919,4.30593351800554,IN
3.23605817174515,3.5282271468144,3.83824099722991,3.94703324099723,KS
3.22132409972299,3.67395567867036,4.06621052631579,4.0493324099723,KY
3.11786149584487,3.50004155124654,3.861108033241,3.88767867036011,LA
3.48893351800554,4.03114681440443,4.37432132963989,4.4918864265928,MA
3.43990304709141,3.95927977839335,4.23794736842105,4.17295567867036,MD
3.53577285318559,3.93862326869806,4.33395567867036,4.62303601108033,ME
3.45863157894737,3.93191412742383,4.40838781163435,4.2455595567867,MI
3.40885595567867,3.71480886426593,4.11073407202216,4.12714681440443,MN
3.18896675900277,3.49846537396122,3.8181108033241,3.87886980609418,MO
3.0266703601108,3.40277008310249,3.75976177285319,3.86398614958449,MS
3.53524930747922,3.82040443213296,4.11110249307479,4.22875069252078,MT
3.28705263157894,3.67490858725762,4.03804709141274,4.08802493074792,NC
3.42446260387811,3.70838504155125,4.05107756232687,4.16665373961219,ND
3.35645983379501,3.55414404432133,4.00904432132964,3.98125484764543,NE
3.41795013850416,3.86553739612189,4.26867590027701,4.42710249307479,NH
3.42881163434903,3.98035457063712,4.24919113573408,4.21451523545707,NJ
3.42807202216067,3.77629362880886,4.05830470914128,4.19807202216067,NM
4.31077008310249,4.56050692520776,4.79442659279779,4.61914127423823,NV
3.6503324099723,4.11349307479225,4.47730193905817,4.72098060941828,NY
3.33153739612188,3.77936288088643,4.22002493074792,4.20306094182826,OH
3.18362880886427,3.50821052631579,3.76940720221607,3.82971745152355,OK
4.22739612188365,4.43181717451523,4.64562326869806,4.69021052631579,OR
3.69319944598338,4.0782271468144,4.38081163434903,4.66586426592798,PA
3.45456786703601,4.0678808864266,4.40014127423823,4.49086426592798,RI
3.17547091412742,3.56515789473685,3.92060110803324,3.98976454293629,SC
3.44562326869806,3.6148836565097,4.08203324099723,4.05662326869806,SD
3.15476454293629,3.54734626038781,3.90650415512466,3.98815789473684,TN
3.09724099722991,3.48993351800554,3.82304709141274,3.75173407202216,TX
3.76463988919667,3.99004155124654,4.19186426592798,4.28918282548476,UT
3.33992797783934,3.75713019390582,4.09557894736842,4.13777008310249,VA
3.56594736842105,4.03129639889196,4.44850138504155,4.38004709141274,VT
4.58950692520776,4.81159556786704,5.01390581717452,5.13540443213296,WA
3.30809695290859,3.73420498614959,4.17212742382272,3.92040997229917,WI
3.39468421052632,3.72048199445983,4.04776731301939,4.21054293628809,WV
3.49281440443213,3.7405567867036,4.01829916897507,4.36250692520776,WY
