"","county_fips","DEMOCRAT","REPUBLICAN","LIBERTARIAN","total_votes","Perc_Dem","Perc_Rep","Perc_Lib"
"1",1001,3814,13359,532,17705,21.5419373058458,75.4532617904547,3.00480090369952
"2",1003,11478,59501,2092,73071,15.7080100176541,81.4290210890778,2.86296889326819
"3",1005,2620,3861,60,6541,40.0550374560465,59.0276716098456,0.917290934107934
"4",1007,971,4694,188,5853,16.5897830172561,80.198188962925,3.2120280198189
"5",1009,1130,14904,519,16553,6.82655711955537,90.0380595662418,3.13538331420286
"6",1011,1827,785,31,2643,69.1259931895573,29.7010972379871,1.17290957245554
"7",1013,2039,3789,80,5908,34.5125253893026,64.1333784698714,1.354096140826
"8",1015,7365,22008,666,30039,24.5181264356337,73.2647558174373,2.21711774692899
"9",1017,2997,5917,176,9090,32.970297029703,65.0935093509351,1.93619361936194
"10",1019,761,6947,121,7829,9.72027078809554,88.7341933835739,1.54553582833057
"11",1021,1407,10386,350,12143,11.586922506794,85.5307584616652,2.88231903154081
"12",1023,1899,3198,56,5153,36.8523190374539,62.06093537745,1.08674558509606
"13",1025,3613,5348,57,9018,40.0643158128188,59.3036149922378,0.632069194943446
"14",1027,505,3628,92,4225,11.9526627218935,85.8698224852071,2.17751479289941
"15",1029,308,4212,77,4597,6.70002175331738,91.6249728083533,1.67500543832935
"16",1031,2298,11411,249,13958,16.4636767445193,81.7524000573148,1.78392319816593
"17",1033,4181,12748,310,17239,24.2531469342769,73.9486049074772,1.79824815824584
"18",1035,1830,2564,39,4433,41.2812993458155,57.8389352582901,0.879765395894428
"19",1037,1042,2662,109,3813,27.3275635982166,69.8137949121427,2.8586414896407
"20",1039,1289,9852,123,11264,11.4435369318182,87.4644886363636,1.09197443181818
"21",1041,895,3607,58,4560,19.6271929824561,79.1008771929825,1.2719298245614
"22",1043,1951,23228,874,26053,7.48858096956205,89.156718995893,3.35470003454497
"23",1045,2326,9458,203,11987,19.4043547176107,78.9021439893218,1.69350129306749
"24",1047,7312,3888,108,11308,64.6621860629643,34.3827378846834,0.955076052352317
"25",1049,1679,15200,228,17107,9.81469573858654,88.8525165137078,1.33278774770562
"26",1051,4866,20167,666,25699,18.9345888945095,78.4738705786217,2.59154052686875
"27",1053,2247,7284,116,9647,23.2922151964341,75.5053384471857,1.20244635638022
"28",1055,4925,20599,534,26058,18.9001458285363,79.0505794765523,2.04927469491135
"29",1057,690,4697,109,5496,12.5545851528384,85.462154294032,1.98326055312955
"30",1059,770,6547,116,7433,10.359208933136,88.0801829678461,1.56060809901789
"31",1061,763,7113,100,7976,9.56619859578736,89.1800401203611,1.25376128385155
"32",1063,2337,597,30,2964,78.8461538461538,20.1417004048583,1.01214574898785
"33",1065,2790,2298,81,5169,53.9756239117818,44.4573418456181,1.56703424260012
"34",1067,1560,5085,84,6729,23.1832367365136,75.5684351315203,1.24832813196612
"35",1069,5854,21246,477,27577,21.2278347898611,77.0424629220002,1.72970228813867
"36",1071,1518,11617,214,13349,11.3716383249682,87.0252453367293,1.60311633830249
"37",1073,100792,91802,4873,197467,51.0424526629766,46.4897932312741,2.46775410574931
"38",1075,447,3869,56,4372,10.224153705398,88.4949679780421,1.28087831655993
"39",1077,5453,19893,494,25840,21.1029411764706,76.9852941176471,1.91176470588235
"40",1079,1916,8573,225,10714,17.8831435504947,80.016800448012,2.10005600149337
"41",1081,12458,26966,1107,40531,30.736966766179,66.53179048136,2.73124275246108
"42",1083,7037,23422,784,31243,22.5234452517364,74.9671926511539,2.50936209710975
"43",1085,2734,1277,58,4069,67.1909560088474,31.3836323420988,1.42541164905382
"44",1087,4131,1153,85,5369,76.9417023654312,21.4751350344571,1.58316260011175
"45",1089,45976,70577,3602,120155,38.26390911739,58.7382963671924,2.99779451541759
"46",1091,3375,3807,81,7263,46.4684014869888,52.4163568773234,1.11524163568773
"47",1093,591,7636,152,8379,7.05334765485141,91.1325933882325,1.8140589569161
"48",1095,2461,21211,511,24183,10.176570317992,87.7103750568581,2.1130546251499
"49",1097,40266,64378,2338,106982,37.6381073451609,60.1764782860668,2.18541436877232
"50",1099,2678,4270,74,7022,38.1372828254059,60.8088863571632,1.05383081743093
"51",1101,33685,22741,1188,57614,58.4666921234422,39.4713090568265,2.06199881973132
"52",1103,5879,25310,813,32002,18.3707268295732,79.0888069495657,2.5404662208612
"53",1105,2224,898,52,3174,70.0693131695022,28.2923755513548,1.63831127914304
"54",1107,2248,4225,87,6560,34.2682926829268,64.405487804878,1.32621951219512
"55",1109,2661,5359,107,8127,32.7427094868955,65.9406915220869,1.3165989910176
"56",1111,991,5471,111,6573,15.0768294538263,83.2344439373193,1.6887266088544
"57",1113,5398,5967,174,11539,46.780483577433,51.7115867926164,1.5079296299506
"58",1117,16276,50762,2588,69626,23.3763249360871,72.9066727946457,3.71700226926723
"59",1115,3933,23049,885,27867,14.1134675422543,82.7107331252019,3.17579933254387
"60",1119,2684,1163,28,3875,69.2645161290323,30.0129032258065,0.72258064516129
"61",1121,6891,14269,439,21599,31.9042548266123,66.0632436686884,2.03250150469929
"62",1123,2914,10421,214,13549,21.5071222968485,76.9134253450439,1.57945235810761
"63",1125,18591,31879,1065,51535,36.0745124672553,61.858930823712,2.0665567090327
"64",1127,2083,15206,499,17788,11.7101416685406,85.4845963570947,2.80526197436474
"65",1129,1267,4557,54,5878,21.554950663491,77.52636951344,0.918679823069071
"66",1131,2446,1329,34,3809,64.21632974534,34.8910475190339,0.892622735626149
"67",1133,403,6309,176,6888,5.85075493612079,91.5940766550523,2.55516840882695
