,state,county_fips,county_name,democratic,republican,independent,people.s.party,libertarian,green,nonpartisan,none,INT,american.delta,OTHER,NOPTY,unknown,BOT,other,other.party,unaffiliated,unenrolled,Nonpartisan,NP,republican.democratic,democratic.republican,independent.republican,conservative,independence,non.partisan,Sick.of.Scandals.Party,american.party.of.south.carolina,constitution,working.families,non.partisan.1,no.affiliation,total_votes,percent_democratic,percent_republican
1009,Wisconsin,55059,Kenosha County,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56184,0.206464473871565,0
1010,Wisconsin,55061,Kewaunee County,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56085,0.024962111081394,0
1011,Wisconsin,55063,La Crosse County,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56128,0.096208665906499,0
1012,Wisconsin,55065,Lafayette County,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56133,0.049881531363013,0.049881531363013
1013,Wisconsin,55067,Langlade County,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56107,0,0.048122337676226
1014,Wisconsin,55069,Lincoln County,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56110,0.048119764747817,0
1015,Wisconsin,55071,Manitowoc County,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56129,0,0.076609239430597
1016,Wisconsin,55073,Marathon County,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56197,0.192181077281705,0
1017,Wisconsin,55075,Marinette County,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56124,0.057016606086523,0
1018,Wisconsin,55077,Marquette County,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56114,0,0.033859642869872
1019,Wisconsin,55078,Menominee County,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56099,0,0.003565125938074
1020,Wisconsin,55079,Milwaukee County,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56575,0.841361025187804,0
1021,Wisconsin,55081,Monroe County,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56146,0,0.078367114309123
1022,Wisconsin,55083,Oconto County,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56135,0,0.053442593747217
1023,Wisconsin,55085,Oneida County,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56137,0,0.051659333416463
1024,Wisconsin,55087,Outagamie County,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56209,0,0.174349303492323
1025,Wisconsin,55089,Ozaukee County,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56166,0,0.092582701278354
1026,Wisconsin,55091,Pepin County,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56128,0.019598061573546,0
1027,Wisconsin,55093,Pierce County,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56148,0.049868205457007,0
1028,Wisconsin,55095,Polk County,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56197,0.065839813513177,0.065839813513177
1029,Wisconsin,55097,Portage County,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56173,0.083670090612928,0
1030,Wisconsin,55099,Price County,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56152,0.04096025074797,0
1031,Wisconsin,55101,Racine County,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56270,0.12262306735383,0.12262306735383
1032,Wisconsin,55103,Richland County,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56169,0,0.060531609962791
1033,Wisconsin,55105,Rock County,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56234,0.170715225664189,0
1034,Wisconsin,55107,Rusk County,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56207,0.058711548383653,0.058711548383653
1035,Wisconsin,55109,St. Croix County,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56228,0.074695881055702,0.074695881055702
1036,Wisconsin,55111,Sauk County,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56190,0,0
1037,Wisconsin,55113,Sawyer County,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56171,0,0.037385839668156
1038,Wisconsin,55115,Shawano County,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56196,0,0.076517901630009
1039,Wisconsin,55117,Sheboygan County,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56220,0,0.113838491639986
1040,Wisconsin,55119,Taylor County,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56186,0.04805467554195,0
