"","fips","n_charging_locations"
"1657",47043,6
"1658",47045,1
"1659",47049,4
"1660",47051,3
"1661",47057,2
"1662",47059,7
"1663",47061,4
"1664",47063,4
"1665",47065,76
"1666",47071,4
"1667",47073,3
"1668",47075,4
"1669",47077,3
"1670",47079,12
"1671",47085,2
"1672",47087,3
"1673",47089,3
"1674",47091,3
"1675",47093,58
"1676",47099,3
"1677",47101,2
"1678",47103,2
"1679",47105,6
"1680",47107,1
"1681",47111,1
"1682",47113,9
"1683",47115,3
"1684",47117,3
"1685",47119,13
"1686",47125,17
"1687",47129,3
"1688",47131,1
"1689",47133,1
"1690",47135,1
"1691",47137,3
"1692",47139,4
"1693",47141,18
"1694",47147,1
"1695",47149,41
"1696",47155,40
"1697",47157,46
"1698",47159,1
"1699",47163,18
"1700",47165,7
"1701",47167,2
"1702",47171,1
"1703",47175,5
"1704",47177,6
"1705",47179,10
"1706",47183,5
"1707",47185,1
"1708",47187,36
"1709",47189,17
"1710",48001,6
"1711",48007,4
"1712",48015,4
"1713",48019,4
"1714",48021,8
"1715",48025,2
"1716",48027,33
"1717",48029,212
"1718",48031,6
"1719",48035,1
"1720",48037,5
"1721",48039,24
"1722",48041,24
"1723",48043,2
"1724",48049,1
"1725",48053,1
"1726",48055,2
"1727",48057,3
"1728",48059,1
"1729",48061,17
"1730",48071,3
"1731",48073,2
"1732",48075,2
"1733",48077,1
"1734",48081,1
"1735",48085,181
"1736",48089,2
"1737",48091,9
"1738",48097,1
"1739",48099,2
"1740",48105,3
"1741",48109,2
"1742",48111,1
"1743",48113,374
"1744",48115,3
"1745",48121,95
"1746",48123,4
"1747",48125,1
"1748",48127,1
"1749",48133,2
"1750",48135,3
"1751",48139,12
"1752",48141,43
"1753",48143,1
"1754",48149,4
"1755",48157,57
"1756",48161,3
"1757",48167,31
"1758",48169,1
"1759",48171,10
"1760",48177,1
"1761",48181,8
"1762",48183,10
"1763",48185,4
"1764",48187,14
"1765",48189,1
"1766",48193,2
"1767",48197,1
"1768",48199,2
"1769",48201,510
"1770",48203,2
"1771",48209,48
"1772",48213,4
"1773",48215,16
"1774",48217,7
"1775",48221,5
"1776",48223,1
"1777",48227,1
"1778",48231,5
"1779",48239,1
"1780",48241,1
"1781",48243,1
"1782",48245,12
"1783",48249,1
"1784",48251,14
"1785",48257,12
"1786",48259,6
"1787",48265,13
"1788",48267,2
"1789",48273,2
"1790",48277,2
"1791",48281,1
"1792",48283,1
"1793",48287,1
"1794",48289,7
"1795",48291,1
"1796",48293,1
"1797",48297,2
"1798",48299,8
"1799",48303,17
"1800",48307,2
"1801",48309,9
"1802",48313,3
"1803",48321,3
"1804",48323,2
"1805",48325,1
"1806",48329,3
"1807",48331,1
"1808",48333,2
"1809",48335,2
"1810",48339,55
"1811",48341,3
"1812",48347,2
"1813",48349,3
"1814",48353,2
"1815",48355,24
"1816",48357,1
"1817",48361,2
"1818",48363,2
"1819",48365,2
"1820",48367,7
"1821",48371,5
"1822",48373,2
"1823",48375,12
"1824",48377,1
"1825",48381,6
"1826",48383,1
"1827",48385,1
"1828",48389,4
"1829",48397,10
"1830",48399,1
"1831",48401,2
"1832",48407,1
"1833",48409,3
"1834",48415,1
"1835",48419,1
"1836",48423,18
"1837",48425,1
"1838",48427,1
"1839",48429,1
"1840",48439,224
"1841",48441,4
"1842",48449,1
"1843",48451,8
"1844",48453,595
"1845",48463,5
"1846",48465,2
"1847",48467,5
"1848",48469,7
"1849",48471,6
"1850",48473,7
"1851",48475,1
"1852",48477,5
"1853",48479,9
"1854",48481,6
"1855",48483,1
"1856",48485,7
"1857",48487,2
"1858",48491,98
"1859",48493,1
"1860",48497,3
"1861",48501,1
"1862",49001,3
"1863",49003,12
"1864",49005,19
"1865",49007,5
"1866",49011,44
"1867",49013,1
"1868",49015,6
"1869",49017,4
"1870",49019,9
"1871",49021,11
"1872",49023,2
"1873",49025,13
"1874",49027,4
"1875",49033,3
"1876",49035,403
"1877",49037,7
"1878",49039,3
"1879",49041,11
"1880",49043,46
"1881",49045,10
"1882",49047,1
"1883",49049,149
"1884",49051,13
"1885",49053,44
"1886",49055,2
"1887",49057,53
"1888",50001,18
"1889",50003,22
"1890",50005,21
"1891",50007,99
"1892",50009,3
"1893",50011,9
"1894",50013,2
"1895",50015,27
"1896",50017,6
"1897",50019,9
"1898",50021,30
"1899",50023,58
"1900",50025,33
"1901",50027,36
"1902",51001,3
"1903",51003,31
"1904",51005,4
"1905",51009,1
"1906",51013,191
"1907",51015,6
"1908",51017,1
"1909",51019,6
"1910",51023,2
"1911",51025,1
"1912",51031,2
"1913",51041,27
"1914",51043,2
"1915",51047,2
"1916",51057,3
"1917",51059,322
"1918",51061,7
"1919",51063,2
"1920",51065,1
"1921",51067,1
"1922",51069,9
"1923",51071,1
"1924",51075,25
"1925",51083,4
"1926",51085,11
"1927",51087,55
"1928",51089,1
"1929",51093,1
"1930",51095,6
"1931",51099,6
"1932",51103,2
"1933",51107,103
"1934",51109,2
"1935",51113,3
"1936",51117,1
"1937",51119,1
"1938",51121,33
"1939",51125,1
"1940",51127,1
"1941",51131,3
"1942",51135,1
"1943",51137,3
"1944",51139,5
"1945",51141,9
"1946",51145,1
"1947",51147,4
"1948",51149,1
"1949",51153,34
"1950",51155,1
"1951",51157,3
"1952",51161,9
"1953",51163,7
"1954",51165,6
"1955",51171,11
"1956",51173,3
"1957",51177,7
"1958",51179,6
"1959",51183,2
"1960",51187,10
"1961",51191,9
"1962",51193,1
"1963",51195,1
"1964",51197,5
"1965",51199,13
"1966",51510,46
"1967",51520,2
"1968",51540,18
"1969",51550,21
"1970",51570,1
"1971",51590,5
"1972",51595,2
"1973",51600,12
"1974",51610,7
"1975",51620,2
"1976",51630,8
"1977",51650,9
"1978",51660,16
"1979",51670,3
"1980",51678,3
"1981",51680,10
"1982",51683,8
"1983",51690,2
"1984",51700,23
"1985",51710,32
"1986",51730,1
"1987",51740,4
"1988",51750,2
"1989",51760,64
"1990",51770,21
"1991",51775,10
"1992",51790,5
"1993",51800,6
"1994",51810,41
"1995",51820,9
"1996",51830,11
"1997",51840,2
"1998",53001,4
"1999",53005,23
"2000",53007,32
"2001",53009,40
"2002",53011,99
"2003",53013,2
"2004",53015,11
"2005",53017,5
"2006",53021,13
"2007",53025,11
"2008",53027,19
"2009",53029,11
"2010",53031,14
"2011",53033,1092
"2012",53035,46
"2013",53037,16
"2014",53039,6
"2015",53041,25
"2016",53043,3
"2017",53045,9
"2018",53047,10
"2019",53049,9
"2020",53051,2
"2021",53053,141
"2022",53055,19
"2023",53057,45
"2024",53059,2
"2025",53061,132
"2026",53063,116
"2027",53065,5
"2028",53067,68
"2029",53069,3
"2030",53071,23
"2031",53073,50
"2032",53075,12
"2033",53077,43
"2034",54003,7
"2035",54007,3
"2036",54009,1
"2037",54011,5
"2038",54019,4
"2039",54023,1
"2040",54025,6
"2041",54027,1
"2042",54031,3
"2043",54033,6
"2044",54035,3
"2045",54037,9
"2046",54039,13
"2047",54041,3
"2048",54045,3
"2049",54049,1
"2050",54051,1
"2051",54055,3
"2052",54057,1
"2053",54061,11
"2054",54065,5
"2055",54067,2
"2056",54069,9
"2057",54075,6
"2058",54079,11
"2059",54081,4
"2060",54083,1
"2061",54089,3
"2062",54091,1
"2063",54093,5
"2064",54097,1
"2065",54107,8
"2066",54109,2
"2067",55003,2
"2068",55005,3
"2069",55007,4
"2070",55009,17
"2071",55013,2
"2072",55015,2
"2073",55017,4
"2074",55021,4
"2075",55023,1
"2076",55025,130
"2077",55027,3
"2078",55029,21
"2079",55033,2
"2080",55035,22
"2081",55039,10
"2082",55043,6
"2083",55045,4
"2084",55047,1
"2085",55049,1
"2086",55053,4
"2087",55055,6
"2088",55057,1
"2089",55059,14
"2090",55061,1
"2091",55063,21
"2092",55067,1
"2093",55069,5
"2094",55071,4
"2095",55073,5
"2096",55075,4
"2097",55079,88
"2098",55081,7
"2099",55083,1
"2100",55085,4
"2101",55087,23
"2102",55089,4
"2103",55093,2
"2104",55095,3
"2105",55097,9
"2106",55099,2
"2107",55101,13
"2108",55103,1
"2109",55105,13
"2110",55107,1
"2111",55109,10
"2112",55111,13
"2113",55113,2
"2114",55115,5
"2115",55117,6
"2116",55119,1
"2117",55123,4
"2118",55127,9
"2119",55129,2
"2120",55131,3
"2121",55133,23
"2122",55135,3
"2123",55137,1
"2124",55139,9
"2125",55141,9
"2126",56001,6
"2127",56003,1
"2128",56005,2
"2129",56007,3
"2130",56009,1
"2131",56011,1
"2132",56013,10
"2133",56019,1
"2134",56021,16
"2135",56023,4
"2136",56025,4
"2137",56027,1
"2138",56029,8
"2139",56031,2
"2140",56033,4
"2141",56035,3
"2142",56037,5
"2143",56039,27
"2144",56041,2
