ID,Name,State,avg_temp,anomaly_1901-2000,Rank,Mean_1901-2000,fips,
MT-035,Glacier County,Montana,39.7,1.7,106,37.9,29195,
MT-037,Golden Valley County,Montana,43.7,0.2,73,43.5,29197,
MT-039,Granite County,Montana,39.9,2,119,37.9,29199,
MT-041,Hill County,Montana,41.1,0.9,78,40.2,29201,
MT-043,Jefferson County,Montana,41.6,2,118,39.7,29203,
MT-045,Judith Basin County,Montana,41.6,1,95,40.6,29205,
MT-047,Lake County,Montana,44.2,1.9,118,42.3,29207,
MT-049,Lewis and Clark County,Montana,41.2,1.6,107,39.6,29209,
MT-051,Liberty County,Montana,41.2,0.9,78,40.4,29211,
MT-053,Lincoln County,Montana,42.5,2.2,119,40.3,29213,
MT-055,McCone County,Montana,43.1,1.6,103,41.5,29215,
MT-057,Madison County,Montana,40.3,1.8,119,38.5,29217,
MT-059,Meagher County,Montana,40.2,1.8,115,38.5,29219,
MT-061,Mineral County,Montana,42.6,1.5,117,41.1,29221,
MT-063,Missoula County,Montana,41.9,1.6,118,40.3,29223,
MT-065,Musselshell County,Montana,44.9,0.3,69,44.6,29225,
MT-067,Park County,Montana,39.6,1.9,118,37.7,29227,
MT-069,Petroleum County,Montana,45.6,0.9,89,44.7,29229,
MT-071,Phillips County,Montana,42.8,1,88,41.8,29510,
MT-073,Pondera County,Montana,41.6,1.4,97,40.3,30001,
MT-075,Powder River County,Montana,45.6,1.3,103,44.2,30003,
MT-077,Powell County,Montana,40.2,1.9,118,38.3,30005,
MT-079,Prairie County,Montana,44.2,1.3,101,42.9,30007,
MT-081,Ravalli County,Montana,40.9,1.6,119,39.3,30009,
MT-083,Richland County,Montana,42.6,1.5,100,41.1,30011,
MT-085,Roosevelt County,Montana,41.4,1.5,97,39.9,30013,
MT-087,Rosebud County,Montana,44.8,0.9,91,43.9,30015,
MT-089,Sanders County,Montana,43.3,1.3,111,42,30017,
MT-091,Sheridan County,Montana,40,1.5,97,38.5,30019,
MT-093,Silver Bow County,Montana,40.5,2.2,121,38.3,30021,
MT-095,Stillwater County,Montana,42.8,0.3,74,42.5,30023,
MT-097,Sweet Grass County,Montana,42.5,1,95,41.5,30025,
MT-099,Teton County,Montana,41.7,1.4,101,40.3,30027,
MT-101,Toole County,Montana,41.7,1.2,84,40.5,30029,
MT-103,Treasure County,Montana,45.4,0.8,87,44.5,30031,
MT-105,Valley County,Montana,41.2,1.2,89,40,30033,
MT-107,Wheatland County,Montana,42.6,0.9,93,41.7,30035,
MT-109,Wibaux County,Montana,43.1,0.9,89,42.2,30037,
MT-111,Yellowstone County,Montana,45.8,0.6,82,45.2,30039,
NE-001,Adams County,Nebraska,51.3,1.2,106,50.1,30041,
NE-003,Antelope County,Nebraska,48.3,0.6,87,47.7,30043,
NE-005,Arthur County,Nebraska,48.7,1.4,109,47.3,30045,
NE-007,Banner County,Nebraska,48.3,1.7,112,46.6,30047,
NE-009,Blaine County,Nebraska,48.8,0.7,92,48.1,30049,
NE-011,Boone County,Nebraska,49.1,1.2,101,47.9,30051,
NE-013,Box Butte County,Nebraska,47.3,1.2,107,46,30053,
NE-015,Boyd County,Nebraska,48.5,0.8,95,47.7,30055,
NE-017,Brown County,Nebraska,48.7,1.2,105,47.5,30057,
NE-019,Buffalo County,Nebraska,50.4,1.2,102,49.2,30059,
NE-021,Burt County,Nebraska,49.7,1.2,105,48.4,30061,
NE-023,Butler County,Nebraska,50.2,0.8,90,49.3,30063,
NE-025,Cass County,Nebraska,51.4,0.9,97,50.5,30065,
NE-027,Cedar County,Nebraska,48.1,1,98,47.2,30067,
NE-029,Chase County,Nebraska,51.3,1.5,111,49.7,30069,
NE-031,Cherry County,Nebraska,48.1,1.5,110,46.5,30071,
NE-033,Cheyenne County,Nebraska,49,1.5,107,47.5,30073,
NE-035,Clay County,Nebraska,51.5,1.3,104,50.2,30075,
NE-037,Colfax County,Nebraska,50.2,1.5,107,48.7,30077,
NE-039,Cuming County,Nebraska,49.2,1,100,48.2,30079,
NE-041,Custer County,Nebraska,49.1,1,100,48.1,30081,
NE-043,Dakota County,Nebraska,48.5,0.9,94,47.7,30083,
NE-045,Dawes County,Nebraska,47.9,1.3,104,46.6,30085,
NE-047,Dawson County,Nebraska,50.2,0.8,95,49.5,30087,
NE-049,Deuel County,Nebraska,49.6,1,93,48.6,30089,
NE-051,Dixon County,Nebraska,48,0.6,88,47.4,30091,
NE-053,Dodge County,Nebraska,50.4,1.4,108,49,30093,
NE-055,Douglas County,Nebraska,51.4,1.5,112,49.8,30095,
NE-057,Dundy County,Nebraska,52,1.5,107,50.5,30097,
NE-059,Fillmore County,Nebraska,51.4,0.9,91,50.5,30099,
NE-061,Franklin County,Nebraska,52.1,1.2,102,50.9,30101,
NE-063,Frontier County,Nebraska,51.1,1.1,102,50,30103,
NE-065,Furnas County,Nebraska,51.7,0.6,88,51.1,30105,
NE-067,Gage County,Nebraska,52,0.8,90,51.2,30107,
NE-069,Garden County,Nebraska,48.5,1.4,108,47.1,30109,
NE-071,Garfield County,Nebraska,48.3,1.1,97,47.3,30111,
NE-073,Gosper County,Nebraska,50.9,0.6,93,50.2,31001,
NE-075,Grant County,Nebraska,47.6,1.3,106,46.3,31003,
NE-077,Greeley County,Nebraska,49.1,1,101,48,31005,
NE-079,Hall County,Nebraska,50.9,1.3,107,49.6,31007,
NE-081,Hamilton County,Nebraska,51.2,1.3,107,49.9,31009,
NE-083,Harlan County,Nebraska,52.1,0.9,97,51.2,31011,
NE-085,Hayes County,Nebraska,50.9,1.1,99,49.9,31013,
NE-087,Hitchcock County,Nebraska,52,1.1,99,50.9,31015,
NE-089,Holt County,Nebraska,48.1,0.8,97,47.2,31017,
NE-091,Hooker County,Nebraska,47.8,0.6,89,47.2,31019,
NE-093,Howard County,Nebraska,50.3,1.2,104,49.1,31021,
NE-095,Jefferson County,Nebraska,52.4,1.2,101,51.2,31023,
NE-097,Johnson County,Nebraska,51.8,0.6,86,51.2,31025,
NE-099,Kearney County,Nebraska,51,1.1,102,49.9,31027,
NE-101,Keith County,Nebraska,50,1.2,104,48.8,31029,
NE-103,Keya Paha County,Nebraska,48.4,1.3,107,47.1,31031,
NE-105,Kimball County,Nebraska,47.7,1.6,111,46.1,31033,
NE-107,Knox County,Nebraska,48.5,0.9,98,47.6,31035,
NE-109,Lancaster County,Nebraska,51.5,1,96,50.5,31037,
NE-111,Lincoln County,Nebraska,49.9,0.9,103,49,31039,
NE-113,Logan County,Nebraska,48.7,0.6,92,48.1,31041,
NE-115,Loup County,Nebraska,48.5,1,100,47.5,31043,
NE-117,McPherson County,Nebraska,48.5,0.8,96,47.7,31045,
NE-119,Madison County,Nebraska,49,0.9,96,48.1,31047,
NE-121,Merrick County,Nebraska,50.9,1.4,107,49.5,31049,
NE-123,Morrill County,Nebraska,48.8,1.6,109,47.2,31051,
NE-125,Nance County,Nebraska,50.2,1.4,103,48.8,31053,
NE-127,Nemaha County,Nebraska,52.4,0.7,91,51.7,31055,
NE-129,Nuckolls County,Nebraska,52.1,1.3,101,50.8,31057,
NE-131,Otoe County,Nebraska,51.6,0.6,82,51.1,31059,
NE-133,Pawnee County,Nebraska,52.3,0.7,93,51.6,31061,
NE-135,Perkins County,Nebraska,50.3,1.2,108,49.1,31063,
NE-137,Phelps County,Nebraska,50.9,0.8,98,50,31065,
NE-139,Pierce County,Nebraska,48.3,0.8,94,47.5,31067,
NE-141,Platte County,Nebraska,49.9,1.4,102,48.5,31069,
NE-143,Polk County,Nebraska,50.6,1.1,100,49.5,31071,
NE-145,Red Willow County,Nebraska,52.2,1.3,105,50.8,31073,
NE-147,Richardson County,Nebraska,53.1,1,101,52,31075,
NE-149,Rock County,Nebraska,48.1,1.1,104,47,31077,
NE-151,Saline County,Nebraska,51.3,0.7,81,50.7,31079,
NE-153,Sarpy County,Nebraska,51.5,1.3,103,50.2,31081,
NE-155,Saunders County,Nebraska,51.1,1.4,107,49.7,31083,
NE-157,Scotts Bluff County,Nebraska,49.1,1.8,114,47.3,31085,
NE-159,Seward County,Nebraska,50.6,0.5,80,50.1,31087,
NE-161,Sheridan County,Nebraska,47.2,1.4,106,45.8,31089,
NE-163,Sherman County,Nebraska,49.8,1.3,102,48.5,31091,
NE-165,Sioux County,Nebraska,46.5,1.3,102,45.3,31093,
NE-167,Stanton County,Nebraska,49.2,1.1,99,48.2,31095,
NE-169,Thayer County,Nebraska,52.3,1.3,104,51,31097,
NE-171,Thomas County,Nebraska,48.6,0.4,86,48.2,31099,
NE-173,Thurston County,Nebraska,48.7,0.9,99,47.8,31101,
NE-175,Valley County,Nebraska,49,1.2,102,47.8,31103,
NE-177,Washington County,Nebraska,50.7,1.4,105,49.3,31105,
NE-179,Wayne County,Nebraska,48.3,0.8,93,47.5,31107,
NE-181,Webster County,Nebraska,52,1.1,101,50.9,31109,
NE-183,Wheeler County,Nebraska,48.6,1.2,102,47.5,31111,
NE-185,York County,Nebraska,50.8,0.7,84,50.2,31113,
NV-001,Churchill County,Nevada,52.3,1.9,121,50.4,31115,
NV-003,Clark County,Nevada,65.8,2.7,122,63.1,31117,
NV-005,Douglas County,Nevada,50,2.2,122,47.8,31119,
NV-007,Elko County,Nevada,46.2,1.9,122,44.3,31121,
NV-009,Esmeralda County,Nevada,54.6,3.7,125,51,31123,
NV-011,Eureka County,Nevada,47.4,2.2,121,45.1,31125,
NV-013,Humboldt County,Nevada,50.3,2.2,122,48.1,31127,
NV-015,Lander County,Nevada,49.3,2.3,121,47,31129,
NV-017,Lincoln County,Nevada,56.3,2.4,122,53.9,31131,
NV-019,Lyon County,Nevada,52.4,2.3,122,50,31133,
NV-021,Mineral County,Nevada,51.9,3.1,125,48.8,31135,
NV-023,Nye County,Nevada,53.4,3,122,50.4,31137,
NV-027,Pershing County,Nevada,51.6,1.8,122,49.8,31139,
NV-029,Storey County,Nevada,51.8,2.5,122,49.3,31141,
NV-031,Washoe County,Nevada,50.2,2.2,121,48,31143,
NV-033,White Pine County,Nevada,47.3,2.3,122,44.9,31145,
NV-510,Carson City,Nevada,51.2,2.4,122,48.8,31147,
NH-001,Belknap County,New Hampshire,46,2.1,116,43.9,31149,
NH-003,Carroll County,New Hampshire,44.3,2.1,120,42.2,31151,
NH-005,Cheshire County,New Hampshire,46.6,2.8,121,43.8,31153,
NH-007,Coos County,New Hampshire,40.6,2.2,116,38.4,31155,
NH-009,Grafton County,New Hampshire,43.1,2.3,118,40.8,31157,
NH-011,Hillsborough County,New Hampshire,48,2.9,121,45.1,31159,
NH-013,Merrimack County,New Hampshire,46.5,2.5,120,44,31161,
NH-015,Rockingham County,New Hampshire,48.5,2.5,118,46.1,31163,
NH-017,Strafford County,New Hampshire,46.8,1.8,112,45,31165,
NH-019,Sullivan County,New Hampshire,45,2.6,120,42.4,31167,
NJ-001,Atlantic County,New Jersey,56.1,3.5,121,52.6,31169,
NJ-003,Bergen County,New Jersey,54.1,3.2,121,50.9,31171,
NJ-005,Burlington County,New Jersey,55.9,3.1,121,52.8,31173,
NJ-007,Camden County,New Jersey,56.3,3.1,121,53.2,31175,
NJ-009,Cape May County,New Jersey,56.4,3.4,121,53.1,31177,
NJ-011,Cumberland County,New Jersey,56.2,3.2,121,53,31179,
NJ-013,Essex County,New Jersey,54.5,3.3,121,51.2,31181,
NJ-015,Gloucester County,New Jersey,56.4,2.9,121,53.5,31183,
NJ-017,Hudson County,New Jersey,55.9,3.2,121,52.7,31185,
NJ-019,Hunterdon County,New Jersey,52.8,3.3,121,49.5,32001,
NJ-021,Mercer County,New Jersey,54.8,3.1,121,51.8,32003,
NJ-023,Middlesex County,New Jersey,55.2,3.4,121,51.8,32005,
NJ-025,Monmouth County,New Jersey,55.3,3.4,121,51.9,32007,
NJ-027,Morris County,New Jersey,51.9,3,121,48.9,32009,
NJ-029,Ocean County,New Jersey,55.4,3.2,121,52.2,32011,
NJ-031,Passaic County,New Jersey,52,2.9,121,49.1,32013,
NJ-033,Salem County,New Jersey,56.3,2.8,121,53.5,32015,
NJ-035,Somerset County,New Jersey,54,3.3,121,50.6,32017,
NJ-037,Sussex County,New Jersey,50.1,2.5,119,47.6,32019,
NJ-039,Union County,New Jersey,55.1,3.4,121,51.7,32021,
NJ-041,Warren County,New Jersey,51.3,3.1,121,48.2,32023,
NM-001,Bernalillo County,New Mexico,55,2.8,121,52.2,32027,
NM-003,Catron County,New Mexico,50.2,2.5,124,47.7,32029,
NM-005,Chaves County,New Mexico,60.9,3.2,122,57.8,32031,
NM-006,Cibola County,New Mexico,50.2,2,121,48.3,32033,
NM-007,Colfax County,New Mexico,48.2,1.7,117,46.6,32510,
NM-009,Curry County,New Mexico,58.1,2.7,122,55.4,33001,
NM-011,De Baca County,New Mexico,59.8,3.4,122,56.5,33003,
NM-013,Dona Ana County,New Mexico,63.1,3,123,60.1,33005,
NM-015,Eddy County,New Mexico,63.2,2.8,122,60.4,33007,
NM-017,Grant County,New Mexico,57.8,3,124,54.8,33009,
NM-019,Guadalupe County,New Mexico,56.7,2.7,124,54,33011,
NM-021,Harding County,New Mexico,55.4,2.1,122,53.2,33013,
NM-023,Hidalgo County,New Mexico,61.6,2.7,124,58.9,33015,
NM-025,Lea County,New Mexico,61.5,2.2,117,59.3,33017,
NM-027,Lincoln County,New Mexico,56,2.7,123,53.3,33019,
NM-028,Los Alamos County,New Mexico,48.7,2.6,124,46.1,34001,
NM-029,Luna County,New Mexico,62.4,2.7,124,59.7,34003,
NM-031,McKinley County,New Mexico,50.6,2.3,122,48.3,34005,
NM-033,Mora County,New Mexico,49.5,2.7,125,46.8,34007,
NM-035,Otero County,New Mexico,59.1,2.6,124,56.5,34009,
NM-037,Quay County,New Mexico,58.5,2.2,122,56.4,34011,
NM-039,Rio Arriba County,New Mexico,47.2,2.7,125,44.5,34013,
NM-041,Roosevelt County,New Mexico,58.9,2.6,121,56.4,34015,
NM-043,Sandoval County,New Mexico,51.7,2.5,124,49.2,34017,
NM-045,San Juan County,New Mexico,53,2.7,122,50.3,34019,
NM-047,San Miguel County,New Mexico,54.2,2.4,124,51.8,34021,
NM-049,Santa Fe County,New Mexico,50.9,2.4,124,48.5,34023,
NM-051,Sierra County,New Mexico,59.2,2.6,121,56.5,34025,
NM-053,Socorro County,New Mexico,55.7,2.7,123,52.9,34027,
NM-055,Taos County,New Mexico,45,2.9,125,42.1,34029,
NM-057,Torrance County,New Mexico,52.5,3,122,49.5,34031,
NM-059,Union County,New Mexico,52.9,1.4,116,51.5,34033,
NM-061,Valencia County,New Mexico,56.8,2.8,121,54,34035,
NY-001,Albany County,New York,48.3,2,119,46.3,34037,
NY-003,Allegany County,New York,46.8,2,121,44.8,34039,
NY-005,Bronx County,New York,55.7,3.2,121,52.6,34041,
NY-007,Broome County,New York,47,1.4,113,45.7,35001,
NY-009,Cattaraugus County,New York,46.8,2.1,121,44.7,35003,
NY-011,Cayuga County,New York,47.5,1.4,115,46.1,35005,
NY-013,Chautauqua County,New York,48.2,2.3,123,45.9,35006,
NY-015,Chemung County,New York,47.9,2,121,45.9,35007,
NY-017,Chenango County,New York,45.9,1.5,113,44.4,35009,
NY-019,Clinton County,New York,43.9,2.2,118,41.7,35011,
NY-021,Columbia County,New York,49.4,2.3,118,47,35013,
NY-023,Cortland County,New York,45.5,1.3,112,44.2,35015,
NY-025,Delaware County,New York,45.4,1.6,115,43.8,35017,
NY-027,Dutchess County,New York,50.6,2.8,121,47.7,35019,
NY-029,Erie County,New York,48.5,2.3,121,46.2,35021,
NY-031,Essex County,New York,42,1.7,106,40.4,35023,
NY-033,Franklin County,New York,42.4,2.2,113,40.2,35025,
NY-035,Fulton County,New York,45.3,1.6,116,43.7,35027,
NY-037,Genesee County,New York,47.9,1.9,114,46,35028,
NY-039,Greene County,New York,46.9,1.9,117,45,35029,
NY-041,Hamilton County,New York,41.4,1.7,108,39.7,35031,
NY-043,Herkimer County,New York,43.3,1.6,109,41.7,35033,
NY-045,Jefferson County,New York,45.7,2.1,114,43.6,35035,
NY-047,Kings County,New York,56,3.1,121,53,35037,
NY-049,Lewis County,New York,43.3,2,116,41.3,35039,
NY-051,Livingston County,New York,48.4,2.1,121,46.3,35041,
NY-053,Madison County,New York,45.8,1.7,113,44.1,35043,
NY-055,Monroe County,New York,49,2.1,116,46.9,35045,
NY-057,Montgomery County,New York,47.3,1.4,114,45.9,35047,
NY-059,Nassau County,New York,54.9,3.1,121,51.8,35049,
NY-061,New York County,New York,56,3.2,121,52.8,35051,
NY-063,Niagara County,New York,49.1,2.2,118,46.9,35053,
NY-065,Oneida County,New York,45.7,1.7,113,44,35055,
NY-067,Onondaga County,New York,47.5,1.8,118,45.7,35057,
NY-069,Ontario County,New York,48.1,1.8,117,46.3,35059,
NY-071,Orange County,New York,50.5,2.7,121,47.8,35061,
NY-073,Orleans County,New York,48.5,1.9,114,46.6,36001,
NY-075,Oswego County,New York,47,2.1,117,44.9,36003,
NY-077,Otsego County,New York,45.1,1.2,108,44,36005,
NY-079,Putnam County,New York,51.2,2.9,121,48.2,36007,
NY-081,Queens County,New York,55.6,2.9,121,52.7,36009,
NY-083,Rensselaer County,New York,48.2,2.5,121,45.6,36011,
NY-085,Richmond County,New York,56,3.3,121,52.7,36013,
NY-087,Rockland County,New York,52.7,3.1,121,49.7,36015,
NY-089,St. Lawrence County,New York,44.1,2.3,112,41.8,36017,
NY-091,Saratoga County,New York,47.1,2.2,119,44.9,36019,
NY-093,Schenectady County,New York,48,2,120,45.9,36021,
NY-095,Schoharie County,New York,45.8,1.3,113,44.4,36023,
NY-097,Schuyler County,New York,47.4,1.9,121,45.5,36025,
NY-099,Seneca County,New York,48.3,1.3,111,47,36027,
NY-101,Steuben County,New York,47,1.9,121,45.2,36029,
NY-103,Suffolk County,New York,53.3,3,121,50.3,36031,
NY-105,Sullivan County,New York,47.4,2.3,119,45.2,36033,
NY-107,Tioga County,New York,47.4,1.5,118,45.8,36035,
NY-109,Tompkins County,New York,46.8,1.3,110,45.6,36037,
NY-111,Ulster County,New York,48.4,2.4,119,46,36039,
NY-113,Warren County,New York,44.2,1.9,114,42.3,36041,
NY-115,Washington County,New York,46.8,2.3,115,44.5,36043,
NY-117,Wayne County,New York,47.9,1.3,103,46.7,36045,
NY-119,Westchester County,New York,53.1,3.2,121,50,36047,
NY-121,Wyoming County,New York,46.8,2.2,121,44.7,36049,
NY-123,Yates County,New York,48,1.8,120,46.2,36051,
NC-001,Alamance County,North Carolina,59.9,1.7,121,58.1,36053,
NC-003,Alexander County,North Carolina,58.7,1.6,121,57.1,36055,
NC-005,Alleghany County,North Carolina,53.1,2.2,121,50.9,36057,
NC-007,Anson County,North Carolina,63.1,2.3,121,60.8,36059,
NC-009,Ashe County,North Carolina,51.7,1.9,120,49.9,36061,
NC-011,Avery County,North Carolina,51.2,2.1,122,49.1,36063,
NC-013,Beaufort County,North Carolina,63.2,2.2,123,61,36065,
NC-015,Bertie County,North Carolina,61.7,2.3,121,59.4,36067,
NC-017,Bladen County,North Carolina,63.5,1.9,121,61.6,36069,
NC-019,Brunswick County,North Carolina,64.5,2.1,121,62.4,36071,
NC-021,Buncombe County,North Carolina,55.1,1.9,121,53.2,36073,
NC-023,Burke County,North Carolina,58.6,1.7,122,56.8,36075,
NC-025,Cabarrus County,North Carolina,61.2,1.9,122,59.4,36077,
NC-027,Caldwell County,North Carolina,58.1,1.7,121,56.4,36079,
NC-029,Camden County,North Carolina,61.8,2.6,121,59.2,36081,
NC-031,Carteret County,North Carolina,64.6,2.2,123,62.3,36083,
NC-033,Caswell County,North Carolina,59.2,1.5,121,57.6,36085,
NC-035,Catawba County,North Carolina,59.8,1.9,121,57.9,36087,
NC-037,Chatham County,North Carolina,61,1.9,121,59.1,36089,
NC-039,Cherokee County,North Carolina,56.9,1.1,120,55.8,36091,
NC-041,Chowan County,North Carolina,62.3,2.6,121,59.8,36093,
NC-043,Clay County,North Carolina,55.9,1.7,121,54.2,36095,
NC-045,Cleveland County,North Carolina,60.2,1.7,121,58.5,36097,
NC-047,Columbus County,North Carolina,64,1.9,122,62.1,36099,
NC-049,Craven County,North Carolina,63.4,2.2,122,61.3,36101,
NC-051,Cumberland County,North Carolina,63.3,2.1,122,61.1,36103,
NC-053,Currituck County,North Carolina,62,2.6,121,59.4,36105,
NC-055,Dare County,North Carolina,63,1.9,121,61.2,36107,
NC-057,Davidson County,North Carolina,59.9,1.9,121,58,36109,
NC-059,Davie County,North Carolina,59.5,2.2,122,57.3,36111,
NC-061,Duplin County,North Carolina,62.7,1.7,122,61,36113,
NC-063,Durham County,North Carolina,60.3,2,121,58.3,36115,
NC-065,Edgecombe County,North Carolina,61.6,2,121,59.5,36117,
NC-067,Forsyth County,North Carolina,59.3,2.2,122,57,36119,
NC-069,Franklin County,North Carolina,60.7,2.4,121,58.3,36121,
NC-071,Gaston County,North Carolina,61.5,2.6,122,58.9,36123,
NC-073,Gates County,North Carolina,61.1,2.2,121,59,37001,
NC-075,Graham County,North Carolina,54.9,1.3,121,53.6,37003,
NC-077,Granville County,North Carolina,59.8,2.4,121,57.4,37005,
NC-079,Greene County,North Carolina,62.4,1.9,122,60.5,37007,
NC-081,Guilford County,North Carolina,59.6,1.9,121,57.7,37009,
NC-083,Halifax County,North Carolina,60.9,2.3,122,58.6,37011,
NC-085,Harnett County,North Carolina,62.4,2.1,122,60.3,37013,
NC-087,Haywood County,North Carolina,52,1.6,121,50.4,37015,
NC-089,Henderson County,North Carolina,56.2,1.6,122,54.6,37017,
NC-091,Hertford County,North Carolina,60.9,2,121,58.9,37019,
NC-093,Hoke County,North Carolina,63.2,2.5,122,60.7,37021,
NC-095,Hyde County,North Carolina,63.9,2.2,123,61.7,37023,
NC-097,Iredell County,North Carolina,59.6,2.1,121,57.5,37025,
NC-099,Jackson County,North Carolina,53.5,1.6,122,51.9,37027,
NC-101,Johnston County,North Carolina,62.3,2.2,122,60.2,37029,
NC-103,Jones County,North Carolina,63.1,2.1,123,61,37031,
NC-105,Lee County,North Carolina,61.8,2.1,121,59.7,37033,
NC-107,Lenoir County,North Carolina,62.5,1.8,122,60.8,37035,
NC-109,Lincoln County,North Carolina,60.5,2.3,122,58.3,37037,
NC-111,McDowell County,North Carolina,57.7,1.9,121,55.8,37039,
NC-113,Macon County,North Carolina,54.8,1.8,122,53,37041,
NC-115,Madison County,North Carolina,55.7,1.9,122,53.8,37043,
NC-117,Martin County,North Carolina,62.2,2.3,122,59.8,37045,
NC-119,Mecklenburg County,North Carolina,61.8,2.4,122,59.4,37047,
NC-121,Mitchell County,North Carolina,52.4,1.7,121,50.6,37049,
NC-123,Montgomery County,North Carolina,62.1,2.3,120,59.8,37051,
NC-125,Moore County,North Carolina,62.4,2.5,122,59.9,37053,
NC-127,Nash County,North Carolina,61.1,2.2,121,58.8,37055,
NC-129,New Hanover County,North Carolina,64.7,2.3,121,62.4,37057,
NC-131,Northampton County,North Carolina,60.6,2.1,121,58.5,37059,
NC-133,Onslow County,North Carolina,63.8,2.2,122,61.6,37061,
NC-135,Orange County,North Carolina,59.8,1.9,121,57.9,37063,
NC-137,Pamlico County,North Carolina,64,2,122,62,37065,
NC-139,Pasquotank County,North Carolina,62.1,2.7,121,59.4,37067,
NC-141,Pender County,North Carolina,63.9,2.1,122,61.7,37069,
NC-143,Perquimans County,North Carolina,62.2,2.6,122,59.5,37071,
NC-145,Person County,North Carolina,59.1,2,121,57,37073,
NC-147,Pitt County,North Carolina,62.6,2,122,60.5,37075,
NC-149,Polk County,North Carolina,59.7,1.4,120,58.3,37077,
NC-151,Randolph County,North Carolina,60.5,1.7,121,58.7,37079,
NC-153,Richmond County,North Carolina,63.3,2.6,121,60.7,37081,
NC-155,Robeson County,North Carolina,63.9,2.2,121,61.7,37083,
NC-157,Rockingham County,North Carolina,59.2,1.8,121,57.4,37085,
NC-159,Rowan County,North Carolina,60.2,1.9,122,58.3,37087,
NC-161,Rutherford County,North Carolina,59.9,1.6,121,58.3,37089,
NC-163,Sampson County,North Carolina,62.8,1.8,122,61,37091,
NC-165,Scotland County,North Carolina,63.7,2.7,122,61,37093,
NC-167,Stanly County,North Carolina,61.9,1.9,122,60,37095,
NC-169,Stokes County,North Carolina,58.7,2.3,122,56.4,37097,
NC-171,Surry County,North Carolina,57.8,2.3,121,55.5,37099,
NC-173,Swain County,North Carolina,52.9,1.3,121,51.6,37101,
NC-175,Transylvania County,North Carolina,55.2,1.9,122,53.3,37103,
NC-177,Tyrrell County,North Carolina,63.1,2.4,122,60.7,37105,
NC-179,Union County,North Carolina,62.3,2.2,122,60.1,37107,
NC-181,Vance County,North Carolina,60.1,2.6,121,57.5,37109,
NC-183,Wake County,North Carolina,61.2,2.1,121,59.2,37111,
NC-185,Warren County,North Carolina,60.4,2.6,122,57.8,37113,
NC-187,Washington County,North Carolina,62.7,2.6,122,60.2,37115,
NC-189,Watauga County,North Carolina,52,2,121,50,37117,
NC-191,Wayne County,North Carolina,62.6,2,123,60.6,37119,
NC-193,Wilkes County,North Carolina,57.9,2.2,121,55.7,37121,
NC-195,Wilson County,North Carolina,62,2.1,121,59.9,37123,
NC-197,Yadkin County,North Carolina,58.8,2.3,122,56.5,37125,
NC-199,Yancey County,North Carolina,52.2,1.8,121,50.4,37127,
ND-001,Adams County,North Dakota,42.7,1.4,97,41.4,37129,
ND-003,Barnes County,North Dakota,41,1.4,103,39.6,37131,
ND-005,Benson County,North Dakota,39.6,1.8,107,37.8,37133,
ND-007,Billings County,North Dakota,42.6,1.2,97,41.4,37135,
ND-009,Bottineau County,North Dakota,39.2,1.4,100,37.7,37137,
ND-011,Bowman County,North Dakota,43.1,1.1,97,41.9,37139,
ND-013,Burke County,North Dakota,38.6,1.1,89,37.6,37141,
ND-015,Burleigh County,North Dakota,41.7,1.6,107,40.1,37143,
ND-017,Cass County,North Dakota,41.4,1,91,40.4,37145,
ND-019,Cavalier County,North Dakota,37.9,1.8,109,36,37147,
ND-021,Dickey County,North Dakota,41.9,0.8,92,41,37149,
ND-023,Divide County,North Dakota,39.4,1.6,101,37.8,37151,
ND-025,Dunn County,North Dakota,42.1,1.4,103,40.7,37153,
ND-027,Eddy County,North Dakota,40,1.5,99,38.5,37155,
ND-029,Emmons County,North Dakota,42.2,0.9,92,41.3,37157,
ND-031,Foster County,North Dakota,40.2,1.3,98,38.9,37159,
ND-033,Golden Valley County,North Dakota,42.7,0.9,89,41.8,37161,
ND-035,Grand Forks County,North Dakota,40,1.1,91,38.9,37163,
ND-037,Grant County,North Dakota,42.6,1.2,97,41.4,37165,
ND-039,Griggs County,North Dakota,39.8,1.4,103,38.5,37167,
ND-041,Hettinger County,North Dakota,42.3,1.3,94,41,37169,
ND-043,Kidder County,North Dakota,40.7,1.3,102,39.4,37171,
ND-045,LaMoure County,North Dakota,41.7,1.2,98,40.6,37173,
ND-047,Logan County,North Dakota,41,1.1,94,39.9,37175,
ND-049,McHenry County,North Dakota,40.4,1.4,101,39,37177,
ND-051,McIntosh County,North Dakota,41.1,0.8,89,40.4,37179,
ND-053,McKenzie County,North Dakota,42.1,1.5,99,40.6,37181,
ND-055,McLean County,North Dakota,41.6,1.6,107,40,37183,
ND-057,Mercer County,North Dakota,42.1,1.3,99,40.8,37185,
ND-059,Morton County,North Dakota,42.3,1.3,99,41,37187,
ND-061,Mountrail County,North Dakota,40.2,1.4,103,38.8,37189,
ND-063,Nelson County,North Dakota,39.1,1.4,104,37.7,37191,
ND-065,Oliver County,North Dakota,41.9,1,93,40.8,37193,
ND-067,Pembina County,North Dakota,39.6,2.2,111,37.4,37195,
ND-069,Pierce County,North Dakota,39.3,1.8,105,37.6,37197,
ND-071,Ramsey County,North Dakota,39.1,1.6,108,37.5,37199,
ND-073,Ransom County,North Dakota,41.7,0.8,85,40.9,38001,
